TOP[Pa]	TIT[K]	Efficiency[-]	Net_sp_work[J/kgCO2]	TOT[K]
200000.000000	1390.000000	0.494400	554317.669000	735.454403	
200000.000000	1395.000000	0.495900	557735.052000	738.086439	
200000.000000	1400.000000	0.497500	561151.964000	740.715877	
200000.000000	1405.000000	0.499000	564568.236000	743.342733	
200000.000000	1410.000000	0.500500	567982.582000	745.967129	
200000.000000	1415.000000	0.502000	571398.804000	748.588692	
200000.000000	1420.000000	0.503500	574813.473000	751.207759	
200000.000000	1425.000000	0.505000	578212.155000	753.825975	
200000.000000	1430.000000	0.506400	581625.754000	756.439864	
200000.000000	1435.000000	0.507900	585039.515000	759.051111	
200000.000000	1440.000000	0.509400	588452.427000	761.659753	
200000.000000	1445.000000	0.510800	591864.178000	764.265845	
200000.000000	1450.000000	0.512200	595276.577000	766.869251	
200000.000000	1455.000000	0.513700	598688.522000	769.470010	
200000.000000	1460.000000	0.515100	602099.429000	772.068241	
200000.000000	1465.000000	0.516500	605509.103000	774.663987	
200000.000000	1470.000000	0.517900	608918.631000	777.257023	
200000.000000	1475.000000	0.519300	612329.798000	779.847231	
200000.000000	1480.000000	0.520700	615738.080000	782.435137	
200000.000000	1485.000000	0.522000	619147.910000	785.020170	
200000.000000	1490.000000	0.523400	622556.086000	787.602722	
200000.000000	1495.000000	0.524800	625963.597000	790.182689	
200000.000000	1500.000000	0.526100	629371.034000	792.760006	
200000.000000	1505.000000	0.527500	632778.038000	795.334707	
200000.000000	1510.000000	0.528800	636184.581000	797.906797	
200000.000000	1515.000000	0.530100	639591.253000	800.476187	
200000.000000	1520.000000	0.531400	642996.826000	803.043061	
200000.000000	1525.000000	0.532800	646402.090000	805.607302	
200000.000000	1530.000000	0.534100	649806.959000	808.168921	
200000.000000	1535.000000	0.535400	653211.207000	810.727954	
200000.000000	1540.000000	0.536600	656616.617000	813.284254	
200000.000000	1545.000000	0.537900	660016.518000	815.836932	
200000.000000	1550.000000	0.539200	663418.249000	818.388141	
200000.000000	1555.000000	0.540500	666821.571000	820.936574	
200000.000000	1560.000000	0.541700	670224.364000	823.482399	
200000.000000	1565.000000	0.543000	673625.494000	826.025706	
